id,name,oscar,highest,lowest,birth,place,movie1_title,movie1_tomato,movie1_audience,movie1_release,movie1_director,movie2_title,movie2_tomato,movie2_audience,movie2_release,movie2_director,movie3_title,movie3_tomato,movie3_audience,movie3_release,movie3_director,movie4_title,movie4_tomato,movie4_audience,movie4_release,movie4_director,movie5_title,movie5_tomato,movie5_audience,movie5_release,movie5_director,movie6_title,movie6_tomato,movie6_audience,movie6_release,movie6_director,movie7_title,movie7_tomato,movie7_audience,movie7_release,movie7_director,movie8_title,movie8_tomato,movie8_audience,movie8_release,movie8_director,movie9_title,movie9_tomato,movie9_audience,movie9_release,movie9_director,movie10_title,movie10_tomato,movie10_audience,movie10_release,movie10_director
1,Robert De Niro, Won 2 Oscars., Hearts of Darkness: A Filmmaker's Apocalypse (1991), The Bridge of San Luis Rey (2004)," Aug 17, 1943"," New York, New York, USA", Hearts of Darkness: A Filmmaker's Apocalypse,100,94,1991, Fax Bahr, Brazil,98,90,1985, Terry Gilliam, A Bronx Tale,97,93,1993, Robert De Niro, Goodfellas,96,97,1990, Martin Scorsese, Taxi Driver,96,93,1976, Martin Scorsese," The Godfather, Part II",96,97,1974, Francis Ford Coppola, Mean Streets,95,84,1973, Martin Scorsese, The Irishman,95,86,2019, Martin Scorsese, Midnight Run,94,87,1988, Martin Brest, About a Boy,93,55,2002, Chris Weitz
2,Jack Nicholson, Won 3 Oscars., The Shooting (1967), Man Trouble (1992)," Apr 22, 1937"," Neptune City, New Jersey, USA", On a Clear Day You Can See Forever,100,74,1970, Vincente Minnelli, The Shooting,100,65,1967, Monte Hellman, Chinatown,99,93,1974, Roman Polanski, Broadcast News,98,79,1987, James L. Brooks, One Flew Over the Cuckoo's Nest,94,96,1975, Milos Forman, Ride in the Whirlwind,92,62,1965, Monte Hellman, The Little Shop of Horrors,92,55,1960, Roger Corman, The Departed,90,94,2006, Martin Scorsese, Reds,89,83,1981, Warren Beatty, The Last Detail,89,87,1973, Hal Ashby
3,Marlon Brando, Won 2 Oscars., Hearts of Darkness: A Filmmaker's Apocalypse (1991), Christopher Columbus: The Discovery (1992)," Apr 03, 1924"," Omaha, Nebraska, USA", Hearts of Darkness: A Filmmaker's Apocalypse,100,94,1991, Fax Bahr, On the Waterfront,99,95,1954, Elia Kazan, A Streetcar Named Desire,98,90,1951, Elia Kazan, Apocalypse Now,98,94,1979, Francis Ford Coppola, The Godfather,97,98,1972, Francis Ford Coppola, Listen to Me Marlon,96,88,2015, Stevan Riley, Julius Caesar,95,81,1953, Joseph L. Mankiewicz, Superman: The Movie,94,86,1978, Richard Donner, The Freshman,94,61,1990, Andrew Bergman, Apocalypse Now Redux,93,91,1979, Francis Ford Coppola
4,Denzel Washington, Won 2 Oscars., Giving Voice (2020), Heart Condition (1990)," Dec 28, 1954"," Mount Vernon, New York, USA", Giving Voice,100,92,2020, James D. Stern, Ma Rainey's Black Bottom,98,74,2020, George C. Wolfe, Glory,93,93,1989, Edward Zwick, A Soldier's Story,92,81,1984, Norman Jewison, Fences,92,75,2016, Denzel Washington, Much Ado About Nothing,90,86,1993, Kenneth Branagh, Malcolm X,89,91,1992, Spike Lee, Crimson Tide,88,83,1995, Tony Scott, Devil in a Blue Dress,88,70,1995, Carl Franklin, The Mighty Quinn,88,48,1989, Carl Schenkel
5,Katharine Hepburn, Won 4 Oscars., Holiday (1938), The Sea of Grass (1947)," May 12, 1907"," Hartford, Connecticut, USA", Desk Set,100,83,1957, Walter Lang, Holiday,100,89,1938, George Cukor, The Philadelphia Story,100,93,1940, George Cukor, The African Queen,98,86,1951, John Huston, Adam's Rib,96,86,1949, George Cukor, Stage Door,96,87,1937, Gregory La Cava, Alice Adams,94,71,1935, George Stevens, Long Day's Journey Into Night,94,85,1962, Sidney Lumet, Bringing Up Baby,93,89,1938, Howard Hawks, On Golden Pond,93,87,1981, Mark Rydell
6,Humphrey Bogart, Won 1 Oscar., The Petrified Forest (1936), The Two Mrs. Carrolls (1947)," Dec 25, 1899"," New York, New York, USA", All Through the Night,100,70,1942, Vincent Sherman, Angels With Dirty Faces,100,92,1938, Michael Curtiz, Black Legion,100,56,1937, Archie Mayo, Kid Galahad,100,68,1937, Michael Curtiz, Marked Woman,100,70,1937, Lloyd Bacon, Sahara,100,86,1943, Zoltan Korda, The Barefoot Contessa,100,72,1954, Joseph L. Mankiewicz, The Harder They Fall,100,80,1956, Mark Robson, The Maltese Falcon,100,91,1941, John Huston, The Petrified Forest,100,79,1936, Archie Mayo
7,Meryl Streep, Won 3 Oscars., Everything Is Copy (2015), Lions for Lambs (2007)," Jun 22, 1949"," Summit, New Jersey, USA", Everything Is Copy,100,75,2015, Jacob Bernstein, Defending Your Life,97,83,1991, Albert Brooks, Little Women,95,92,2019, Greta Gerwig, Manhattan,94,92,1979, Woody Allen, A Cry in the Dark,93,74,1988, Fred Schepisi, Fantastic Mr. Fox,93,85,2009, Wes Anderson, The Deer Hunter,92,92,1978, Michael Cimino, Adaptation,91,85,2002, Spike Jonze, The Bridges of Madison County,90,87,1995, Clint Eastwood, One True Thing,89,71,1998, Carl Franklin
8,Daniel Day-Lewis, Won 3 Oscars., A Room With a View (1986), Nine (2009)," Apr 29, 1957"," London, England, UK", A Room With a View,100,85,1986, James Ivory, My Beautiful Laundrette,98,75,1985, Stephen Frears, My Left Foot,98,92,1989, Jim Sheridan, In the Name of the Father,94,95,1993, Jim Sheridan, The Last of the Mohicans,93,88,1992, Michael Mann, Spielberg,92,90,2017, Susan Lacy, Phantom Thread,91,71,2017, Paul Thomas Anderson, There Will Be Blood,91,86,2007, Paul Thomas Anderson, Lincoln,89,81,2012, Steven Spielberg, The Unbearable Lightness of Being,85,84,1988, Philip Kaufman
9,Sidney Poitier, Won 1 Oscar., Sighted Eyes/Feeling Heart (2017), Ghost Dad (1990)," Feb 20, 1927"," Miami, Florida, USA", Deadly Pursuit,100,64,1988, Roger Spottiswoode, Nationtime,100,Not Available,1972, William Greaves," Sammy Davis, Jr.: I've Gotta Be Me",100,Not Available,2017, Samuel D. Pollard, Sighted Eyes/Feeling Heart,100,Not Available,2017, Tracy Heather Strain, In the Heat of the Night,95,92,1967, Norman Jewison, Sing Your Song,95,79,2011, Susanne Rostock, A Raisin in the Sun,94,87,1961, Daniel Petrie, The Defiant Ones,92,88,1958, Stanley Kramer, Lilies of the Field,91,86,1963, Ralph Nelson, No Way Out,90,82,1950, Joseph L. Mankiewicz
10,Clark Gable, Won 1 Oscar., Red Dust (1932), It Started in Naples (1960)," Feb 01, 1901"," Cadiz, Ohio, USA", Red Dust,100,78,1932, Victor Fleming," Run Silent, Run Deep",100,79,1958, Robert Wise, It Happened One Night,99,93,1934, Frank Capra, The Misfits,97,78,1961, John Huston, Mutiny on the Bounty,93,84,1935, Frank Lloyd, San Francisco,92,71,1936, W. S. Van Dyke II, Arthur Miller: Writer,91,60,2017, Rebecca Miller, Gone With the Wind,91,92,1939, Victor Fleming, No Man of Her Own,91,69,1932, Wesley Ruggles, Teacher's Pet,86,71,1958, George Seaton
